"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Dominic Smith","NYM","50","190","4","14","20","2","7.9%","23.7%",".112",".328",".260",".332",".373",".308",".346","100","-2.3","-2.3","0.5","0.4","15653"
"Enrique Hernandez","BOS","45","184","5","27","13","1","6.0%","23.4%",".153",".268",".224",".277",".376",".285",".285","78","0.8","-4.1","2.1","0.4","10472"
"Wil Myers","SDP","50","180","6","19","23","4","10.6%","23.3%",".156",".301",".250",".328",".406",".320",".296","106","0.5","1.8","-3.4","0.4","10047"
"Andrelton Simmons","MIN","44","165","2","17","13","0","10.3%","18.2%",".075",".313",".259",".339",".333",".304",".296","94","-2.0","-3.1","1.5","0.4","10847"
"Kyle Schwarber","WSN","48","203","9","20","25","1","9.4%","29.1%",".194",".277",".222",".310",".417",".317",".336","99","0.5","0.3","-2.9","0.4","16478"
"Anthony Rendon","LAA","38","161","3","15","22","0","9.3%","14.9%",".111",".263",".236",".311",".347",".293",".316","88","-0.6","-2.9","1.2","0.4","12861"
"Pete Alonso","NYM","44","177","7","25","25","0","10.7%","23.2%",".183",".290",".248",".339",".431",".337",".370","119","-1.0","3.1","-5.1","0.4","19251"
"Andrew Vaughn","CHW","45","166","4","21","13","0","9.0%","27.1%",".166",".296",".228",".313",".393",".310",".329","101","-0.3","-0.2","-1.8","0.4","26197"
"Nick Ahmed","ARI","51","183","1","14","9","3","7.7%","26.8%",".102",".316",".228",".291",".329",".276",".240","73","0.2","-5.9","3.6","0.4","12147"
"Josh Harrison","WSN","46","187","4","18","18","2","7.5%","11.8%",".114",".286",".265",".348",".380",".325",".350","104","-0.5","0.5","-2.9","0.4","8202"
"Jonathan Schoop","DET","56","229","9","23","26","0","6.6%","22.7%",".171",".298",".257",".310",".429",".320",".299","104","-0.8","0.3","-4.7","0.3","11265"
"Ian Happ","CHC","47","188","6","19","15","1","13.8%","28.7%",".146",".245",".190",".316",".335",".297",".324","88","0.1","-2.6","-0.5","0.3","17919"
"Giancarlo Stanton","NYY","41","172","9","16","24","0","9.9%","30.2%",".213",".319",".252",".326",".465",".341",".348","119","-2.9","1.1","-4.2","0.3","4949"
"Garrett Cooper","MIA","51","179","5","17","22","0","8.4%","27.9%",".149",".340",".255",".330",".404",".323",".321","110","-1.9","0.3","-3.7","0.2","15279"
"Jose Iglesias","LAA","46","177","4","21","16","2","3.4%","15.8%",".107",".299",".266",".299",".373",".295",".298","89","-0.4","-2.6","-1.3","0.2","10231"
"Joc Pederson","CHC","44","176","6","18","21","0","8.5%","27.3%",".162",".291",".234",".313",".396",".310",".334","97","0.4","-0.2","-3.5","0.2","11899"
"Ha-seong Kim","SDP","50","156","3","14","17","5","5.1%","23.7%",".126",".248",".203",".256",".329",".257",".253","64","0.9","-6.0","2.8","0.2","27506"
"Willie Calhoun","TEX","43","173","5","17","15","0","8.7%","11.6%",".153",".273",".261",".329",".414",".326",".351","110","-2.9","-0.8","-3.2","0.2","17838"
"C.J. Cron","COL","45","166","5","22","18","0","12.0%","25.9%",".169",".340",".261",".367",".430",".353",".363","110","-0.5","1.6","-5.3","0.2","12546"
"James McCann","NYM","44","157","6","12","21","0","7.6%","28.0%",".152",".284",".228",".287",".379",".292",".303","90","-2.6","-4.6","1.1","0.1","12859"
"David Fletcher","LAA","55","231","0","33","16","3","4.3%","11.3%",".042",".298",".264",".295",".306",".267",".274","70","1.8","-6.4","0.0","0.1","17992"
"Eddie Rosario","CLE","54","214","4","19","30","6","6.5%","16.4%",".112",".266",".235",".288",".347",".280",".306","76","1.5","-4.6","-1.4","0.1","12155"
"Marwin Gonzalez","BOS","48","179","2","17","15","2","7.3%","23.5%",".114",".261",".203",".291",".316",".274",".310","71","0.2","-6.1","1.2","0.1","5497"
"Josh Bell","WSN","46","172","8","28","24","0","7.6%","25.0%",".197",".243",".217",".279",".414",".300",".327","88","1.1","-1.5","-3.0","0.1","13145"
"Niko Goodrum","DET","49","185","4","22","12","10","9.2%","37.3%",".109",".333",".212",".292",".321",".275",".289","74","1.1","-4.7","-1.2","0.0","12092"
"Kevin Newman","PIT","53","206","1","19","10","1","4.4%","6.3%",".051",".219",".209",".243",".260",".224",".266","41","2.7","-12.2","6.0","0.0","17696"
"David Bote","CHC","49","162","5","16","23","0","8.0%","22.2%",".139",".231",".201",".280",".340",".276",".356","75","-1.0","-6.1","1.0","0.0","14593"
"Willi Castro","DET","47","184","4","21","19","2","5.4%","27.7%",".138",".301",".228",".290",".365",".288",".275","83","0.5","-3.4","-3.0","0.0","17338"
"Martin Maldonado","HOU","45","164","4","14","14","0","9.1%","30.5%",".116",".215",".163",".250",".279",".241",".261","56","-2.0","-10.6","4.9","0.0","6887"
"Adam Duvall","MIA","51","188","9","19","33","2","5.9%","31.9%",".194",".234",".194",".245",".389",".274",".304","77","-0.5","-5.8","-0.4","0.0","10950"
"Lourdes Gurriel Jr.","TOR","52","205","5","19","20","1","2.9%","20.0%",".124",".298",".259",".279",".383",".285",".284","80","-0.7","-5.6","-1.5","0.0","19238"
"David Peralta","ARI","57","225","4","25","30","1","7.6%","17.3%",".163",".285",".245",".302",".409",".305",".278","92","-0.1","-2.3","-5.1","0.0","2136"
"Ryan Mountcastle","BAL","54","209","8","24","30","3","3.3%","31.1%",".193",".331",".254",".282",".447",".311",".297","99","-0.5","-0.7","-6.8","0.0","18373"
