"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Noah Syndergaard","Mets","10","8","0","32","32","197.2","9.20","2.28","1.09",".313","68.9 %","48.0 %","13.3 %","4.28","3.60","3.83","4.4","11762"
"Sonny Gray","Reds","11","8","0","31","31","175.1","10.52","3.49","0.87",".255","79.7 %","50.8 %","13.0 %","2.87","3.42","3.65","4.4","12768"
"Jake Odorizzi","Twins","15","7","0","30","30","159.0","10.08","3.00","0.91",".302","75.5 %","35.0 %","8.8 %","3.51","3.36","4.33","4.3","6397"
"Mike Minor","Rangers","14","10","0","32","32","208.1","8.64","2.94","1.30",".287","80.3 %","40.0 %","12.9 %","3.59","4.25","4.60","4.1","10021"
"Kyle Hendricks","Cubs","11","10","0","30","30","177.0","7.63","1.63","0.97",".287","71.8 %","41.3 %","10.4 %","3.46","3.61","4.26","4.1","12049"
"Luis Castillo","Reds","15","8","0","32","32","190.2","10.67","3.73","1.04",".262","76.7 %","55.2 %","17.9 %","3.40","3.70","3.48","4.1","15689"
"Mike Soroka","Braves","13","4","0","29","29","174.2","7.32","2.11","0.72",".280","79.9 %","51.2 %","11.1 %","2.68","3.45","3.85","4.0","18383"
"Marcus Stroman","- - -","10","13","0","32","32","184.1","7.76","2.83","0.88",".307","76.1 %","53.7 %","12.6 %","3.22","3.72","3.99","3.9","13431"
"Eduardo Rodriguez","Red Sox","19","6","0","34","34","203.1","9.43","3.32","1.06",".317","77.7 %","48.5 %","13.3 %","3.81","3.86","4.10","3.7","13164"
"Marco Gonzales","Mariners","16","13","0","34","34","203.0","6.52","2.48","1.02",".295","69.2 %","40.7 %","9.3 %","3.99","4.15","5.11","3.7","15467"
"Chris Sale","Red Sox","6","11","0","25","25","147.1","13.32","2.26","1.47",".309","66.7 %","42.8 %","19.5 %","4.40","3.39","2.93","3.6","10603"
"James Paxton","Yankees","15","6","0","29","29","150.2","11.11","3.29","1.37",".313","76.2 %","38.4 %","14.1 %","3.82","3.86","4.03","3.5","11828"
"Jose Quintana","Cubs","13","9","0","32","31","171.0","8.00","2.42","1.05",".326","65.9 %","44.5 %","12.1 %","4.68","3.80","4.20","3.5","11423"
"Aaron Nola","Phillies","12","7","0","34","34","202.1","10.19","3.56","1.20",".295","76.8 %","49.7 %","17.4 %","3.87","4.03","3.82","3.4","16149"
"German Marquez","Rockies","12","5","0","28","28","174.0","9.05","1.81","1.50",".304","68.1 %","49.0 %","20.1 %","4.76","4.06","3.54","3.4","15038"
"Clayton Kershaw","Dodgers","16","5","0","29","28","178.1","9.54","2.07","1.41",".262","84.0 %","48.0 %","18.5 %","3.03","3.86","3.50","3.4","2036"
"Joe Musgrove","Pirates","11","12","0","32","31","170.1","8.30","2.06","1.11",".299","63.2 %","44.5 %","11.7 %","4.44","3.82","4.31","3.3","12970"
